ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001127602-24-004594	1644600	Stock Option (Right to Buy)		211.67				10-FEB-2023	F8	10-FEB-2032		Common Stock		1676.0				1676.0				D			
0001225208-24-001887	1644534	Stock Units (LTIP)			F3				F3		F3	Common Stock		27239.5				27239.5				D			
0001225208-24-001887	1644533	Stock Option		104.16				01-JAN-2027		05-FEB-2034		Common Stock		44226.0				44226.0				D			
0001225208-24-001887	1644532	Stock Option		71.95				01-JAN-2026		08-FEB-2033		Common Stock		60662.0				60662.0				D			
0001225208-24-001887	1644531	Stock Option		62.87				01-JAN-2025		07-FEB-2032		Common Stock		64971.0				64971.0				D			
0001225208-24-001887	1644530	Stock Option		61.26				01-JAN-2024		02-FEB-2031		Common Stock		65490.0				65490.0				D			
0001225208-24-001887	1644529	Stock Option		33.33				01-JAN-2019		04-FEB-2026		Common Stock		17352.0				17352.0				D			
0001225208-24-001886	1644386	Stock Option		43.71				01-JAN-2022		06-FEB-2029		Common Stock		9904.0				9904.0				D			
0001225208-24-001886	1644387	Stock Option		50.79				01-JAN-2023		04-FEB-2030		Common Stock		11055.0				11055.0				D			
0001225208-24-001886	1644388	Stock Option		61.26				01-JAN-2024		02-FEB-2031		Common Stock		12279.0				12279.0				D			
0001225208-24-001886	1644389	Stock Option		62.87				01-JAN-2025		07-FEB-2032		Common Stock		11574.0				11574.0				D			
